Task,Start.End,Type,Time
fetchmem,start,intra,1721857121493
fetchmem,end,intra,1721857121498
writemem,start,intra,1721857125272
writemem,end,intra,1721857125273
fetchmem,start,intra,1723247681713
fetchmem,end,intra,1723247681720
validateURL,start,inter,1723247914618
validateURL,end,inter,1723247917384
parsepage,start,inter,1723247918482
parsepage,end,inter,1723247931612
validateURL,start,inter,1723248113257
validateURL,end,inter,1723248117070
parsepage,start,inter,1723248118196
parsepage,end,inter,1723248123386
validateURL,start,inter,1723248159747
validateURL,end,inter,1723248161690
parsepage,start,inter,1723248162762
parsepage,end,inter,1723248168908
validateURL,start,inter,1723248317808
validateURL,end,inter,1723248321998
parsepage,start,inter,1723248323109
parsepage,end,inter,1723248329925
validateURL,start,inter,1723248418650
validateURL,end,inter,1723248422582
parsepage,start,inter,1723248423676
parsepage,end,inter,1723248433911
parsepage,start,inter,1723248473413
parsepage,end,inter,1723248481921
parsepage,start,inter,1723248483009
parsepage,end,inter,1723248489715
parsepage,start,inter,1723248490871
parsepage,end,inter,1723248503000
validateURL,start,inter,1723249287284
validateURL,end,inter,1723249290388
parsepage,start,inter,1723249291476
parsepage,end,inter,1723249299476
validateURL,start,inter,1723249371912
validateURL,end,inter,1723249373705
parsepage,start,inter,1723249374790
parsepage,end,inter,1723249379111
parsepage,start,inter,1723249452866
parsepage,end,inter,1723249461636
parsepage,start,inter,1723249462768
parsepage,end,inter,1723249472047
parsepage,start,inter,1723249473129
parsepage,end,inter,1723249485709
validateURL,start,inter,1723249894262
validateURL,end,inter,1723249897877
parsepage,start,inter,1723249898968
parsepage,end,inter,1723249906376
parsepage,start,inter,1723250111949
parsepage,end,inter,1723250123749
parsepage,start,inter,1723250124951
parsepage,end,inter,1723250129459
parsepage,start,inter,1723250130489
parsepage,end,inter,1723250139792
parsepage,start,inter,1723250140903
parsepage,end,inter,1723250150476
validateURL,start,inter,1723250913363
validateURL,end,inter,1723250913377
validateURL,start,inter,1723250935021
validateURL,end,inter,1723250935025
validateURL,start,inter,1723250975379
validateURL,end,inter,1723250975386
validateURL,start,inter,1723251013603
validateURL,end,inter,1723251016888
parsepage,start,inter,1723251018081
parsepage,end,inter,1723251025495
parsepage,start,inter,1723251282878
parsepage,end,inter,1723251293286
parsepage,start,inter,1723251294313
parsepage,end,inter,1723251304944
parsepage,start,inter,1723251306007
parsepage,end,inter,1723251316471
writemem,start,intra,1723251586109
writemem,end,intra,1723251586113
fetchmem,start,intra,1723572606979
validateURL,start,inter,1723572610406
validateURL,end,inter,1723572612560
validateURL,start,inter,1723572613654
validateURL,end,inter,1723572615646
validateURL,start,inter,1723572616728
validateURL,end,inter,1723572620623
fetchmem,end,intra,1723572620625
validateURL,start,inter,1723574867564
validateURL,end,inter,1723574871125
parsepage,start,inter,1723574872289
parsepage,end,inter,1723574879925
validateURL,start,inter,1723574953459
validateURL,end,inter,1723574955345
parsepage,start,inter,1723574956460
parsepage,end,inter,1723574969164
validateURL,start,inter,1723574988307
validateURL,end,inter,1723574991824
parsepage,start,inter,1723574992843
parsepage,end,inter,1723574997007
parsepage,start,inter,1723575041201
parsepage,end,inter,1723575048185
parsepage,start,inter,1723575049187
parsepage,end,inter,1723575057174
parsepage,start,inter,1723575058271
parsepage,end,inter,1723575062935
parsepage,start,inter,1723575420992
parsepage,end,inter,1723575432319
parsepage,start,inter,1723575433412
parsepage,end,inter,1723575443576
parsepage,start,inter,1723575444622
parsepage,end,inter,1723575446055
writemem,start,intra,1723575709658
writemem,end,intra,1723575709662
fetchmem,start,intra,1724704611028
validateURL,start,inter,1724704616730
validateURL,end,inter,1724704620672
validateURL,start,inter,1724704622455
validateURL,end,inter,1724704626772
validateURL,start,inter,1724704628461
validateURL,end,inter,1724704632695
fetchmem,end,intra,1724704632697
validateURL,start,inter,1724704687755
validateURL,end,inter,1724704691800
parsepage,start,inter,1724704693038
parsepage,end,inter,1724704702986
validateURL,start,inter,1724704709941
validateURL,end,inter,1724704714016
parsepage,start,inter,1724704715264
parsepage,end,inter,1724704723565
validateURL,start,inter,1724704729935
validateURL,end,inter,1724704732297
parsepage,start,inter,1724704733390
parsepage,end,inter,1724704738769
validateURL,start,inter,1724704751782
validateURL,end,inter,1724704754289
parsepage,start,inter,1724704755939
parsepage,end,inter,1724704762811
validateURL,start,inter,1724704769345
validateURL,end,inter,1724704778207
parsepage,start,inter,1724704779282
parsepage,end,inter,1724704787203
validateURL,start,inter,1724704793871
validateURL,end,inter,1724704796952
parsepage,start,inter,1724704798315
parsepage,end,inter,1724704803649
validateURL,start,inter,1724704810935
validateURL,end,inter,1724704813529
parsepage,start,inter,1724704814938
parsepage,end,inter,1724704818849
validateURL,start,inter,1724704825944
validateURL,end,inter,1724704828452
parsepage,start,inter,1724704829795
parsepage,end,inter,1724704838577
validateURL,start,inter,1724704845197
validateURL,end,inter,1724704848967
parsepage,start,inter,1724704850027
parsepage,end,inter,1724704863031
validateURL,start,inter,1724704883802
validateURL,end,inter,1724704886408
parsepage,start,inter,1724704887655
parsepage,end,inter,1724704897857
validateURL,start,inter,1724704905959
validateURL,end,inter,1724704909016
parsepage,start,inter,1724704910332
parsepage,end,inter,1724704914780
validateURL,start,inter,1724704921087
validateURL,end,inter,1724704924388
parsepage,start,inter,1724704925730
parsepage,end,inter,1724704934592
validateURL,start,inter,1724704940616
validateURL,end,inter,1724704943783
parsepage,start,inter,1724704944896
parsepage,end,inter,1724704953778
validateURL,start,inter,1724704959150
validateURL,end,inter,1724704962465
parsepage,start,inter,1724704963741
parsepage,end,inter,1724704974753
validateURL,start,inter,1724704979834
validateURL,end,inter,1724704983687
parsepage,start,inter,1724704984905
parsepage,end,inter,1724704998008
validateURL,start,inter,1724705003676
validateURL,end,inter,1724705010655
parsepage,start,inter,1724705011961
parsepage,end,inter,1724705025063
validateURL,start,inter,1724705032201
validateURL,end,inter,1724705034055
parsepage,start,inter,1724705035222
parsepage,end,inter,1724705040822
validateURL,start,inter,1724705058531
validateURL,end,inter,1724705061799
parsepage,start,inter,1724705063249
parsepage,end,inter,1724705070555
validateURL,start,inter,1724705077849
validateURL,end,inter,1724705081094
parsepage,start,inter,1724705082195
parsepage,end,inter,1724705092910
validateURL,start,inter,1724705148291
validateURL,end,inter,1724705151982
parsepage,start,inter,1724705153179
parsepage,end,inter,1724705166989
validateURL,start,inter,1724705185390
validateURL,end,inter,1724705194725
parsepage,start,inter,1724705195857
parsepage,end,inter,1724705205272
validateURL,start,inter,1724705215132
validateURL,end,inter,1724705218596
parsepage,start,inter,1724705220115
parsepage,end,inter,1724705230005
validateURL,start,inter,1724705236126
validateURL,end,inter,1724705240676
parsepage,start,inter,1724705241846
parsepage,end,inter,1724705254261
validateURL,start,inter,1724705261602
validateURL,end,inter,1724705264456
parsepage,start,inter,1724705265805
parsepage,end,inter,1724705272098
validateURL,start,inter,1724705278803
validateURL,end,inter,1724705283233
parsepage,start,inter,1724705284539
parsepage,end,inter,1724705294342
validateURL,start,inter,1724705301898
validateURL,end,inter,1724705304363
parsepage,start,inter,1724705305739
parsepage,end,inter,1724705318669
validateURL,start,inter,1724705331175
validateURL,end,inter,1724705333340
parsepage,start,inter,1724705334332
parsepage,end,inter,1724705341113
validateURL,start,inter,1724705400855
validateURL,end,inter,1724705407536
parsepage,start,inter,1724705408671
parsepage,end,inter,1724705416429
validateURL,start,inter,1724705434088
validateURL,end,inter,1724705438875
parsepage,start,inter,1724705440225
parsepage,end,inter,1724705448772
validateURL,start,inter,1724705481174
validateURL,end,inter,1724705484671
parsepage,start,inter,1724705485659
parsepage,end,inter,1724705493265
validateURL,start,inter,1724705521489
validateURL,end,inter,1724705527117
parsepage,start,inter,1724705528154
parsepage,end,inter,1724705536843
validateURL,start,inter,1724705549508
validateURL,end,inter,1724705553697
parsepage,start,inter,1724705554814
parsepage,end,inter,1724705566937
validateURL,start,inter,1724705587749
