Task,Start.End,Type,Time

fetchmem,start,intra,1718906191261
fetchmem,end,intra,1718906191275
writemem,start,intra,1718906208992
writemem,end,intra,1718906208994
fetchmem,start,intra,1718907118747
fetchmem,end,intra,1718907118760
validateURL,start,inter,1718907136851
validateURL,end,inter,1718907138824
parsepage,start,inter,1718907139687
parsepage,end,inter,1718907141656
writemem,start,intra,1718907145742
writemem,end,intra,1718907145745
fetchmem,start,intra,1718907151063
fetchmem,end,intra,1718907151077
validateURL,start,inter,1718907164789
validateURL,end,inter,1718907171291
parsepage,start,inter,1718907172146
parsepage,end,inter,1718907174370
writemem,start,intra,1718907180616
writemem,end,intra,1718907180617
fetchmem,start,intra,1718907395441
fetchmem,end,intra,1718907395453
writemem,start,intra,1718907548200
writemem,end,intra,1718907548201
fetchmem,start,intra,1718907670148
fetchmem,end,intra,1718907670184
validateURL,start,inter,1718907680621
validateURL,end,inter,1718907686861
parsepage,start,inter,1718907687710
parsepage,end,inter,1718907689588
writemem,start,intra,1718907692352
writemem,end,intra,1718907692354
fetchmem,start,intra,1718907728907
fetchmem,end,intra,1718907728923
writemem,start,intra,1718907746755
writemem,end,intra,1718907746756
fetchmem,start,intra,1718908683415
fetchmem,end,intra,1718908683427
validateURL,start,inter,1718908703379
validateURL,end,inter,1718908705446
parsepage,start,inter,1718908706392
parsepage,end,inter,1718908708352
writemem,start,intra,1718908723820
writemem,end,intra,1718908723826
fetchmem,start,intra,1718908745324
validateURL,start,inter,1718908746807
validateURL,end,inter,1718908748838
fetchmem,end,intra,1718908748838
writemem,start,intra,1718908755188
writemem,end,intra,1718908755190
fetchmem,start,intra,1718908881511
validateURL,start,inter,1718908882870
validateURL,end,inter,1718908889256
fetchmem,end,intra,1718908889256
validateURL,start,inter,1718908910025
fetchmem,start,intra,1718909309038
validateURL,start,inter,1718909310356
validateURL,end,inter,1718909312539
fetchmem,end,intra,1718909312540
validateURL,start,inter,1718909321454
validateURL,end,inter,1718909321609
writemem,start,intra,1718909326873
writemem,end,intra,1718909326874
validateURL,start,inter,1718909624506
validateURL,end,inter,1718909627573
parsepage,start,inter,1718909628426
parsepage,end,inter,1718909630476
parsepage,start,inter,1718909636756
parsepage,end,inter,1718909638858
validateURL,start,inter,1718909653636
validateURL,end,inter,1718909659878
parsepage,start,inter,1718909660719
parsepage,end,inter,1718909662477
fetchmem,start,intra,1718910118912
validateURL,start,inter,1718910120283
validateURL,end,inter,1718910126553
fetchmem,end,intra,1718910126554
validateURL,start,inter,1718910132984
validateURL,end,inter,1718910138736
parsepage,start,inter,1718910139598
parsepage,end,inter,1718910141703
writemem,start,intra,1718910150731
writemem,end,intra,1718910150732
fetchmem,start,intra,1718910258423
fetchmem,end,intra,1718910258433
